year,month,decimal date,interpolated
1958,3,1958.2027,314.43
1958,4,1958.2877,315.16
1958,5,1958.3699,314.71
1958,6,1958.4548,315.14
1958,7,1958.5370,315.18
1958,8,1958.6219,316.18
1958,9,1958.7068,316.08
1958,10,1958.7890,315.41
1958,11,1958.8740,315.20
1958,12,1958.9562,315.43
1959,1,1959.0411,315.55
1959,2,1959.1260,315.86
1959,3,1959.2027,315.38
1959,4,1959.2877,315.41
1959,5,1959.3699,315.49
1959,6,1959.4548,316.03
1959,7,1959.5370,315.86
1959,8,1959.6219,316.06
1959,9,1959.7068,316.73
1959,10,1959.7890,316.33
1959,11,1959.8740,316.68
1959,12,1959.9562,316.35
1960,1,1960.0410,316.40
1960,2,1960.1257,316.36
1960,3,1960.2049,316.28
1960,4,1960.2896,316.70
1960,5,1960.3716,317.22
1960,6,1960.4563,317.47
1960,7,1960.5383,317.52
1960,8,1960.6230,317.19
1960,9,1960.7077,317.08
1960,10,1960.7896,316.83
1960,11,1960.8743,316.88
1960,12,1960.9563,316.96
1961,1,1961.0411,316.86
1961,2,1961.1260,317.08
1961,3,1961.2027,317.26
1961,4,1961.2877,317.16
1961,5,1961.3699,317.76
1961,6,1961.4548,317.63
1961,7,1961.5370,317.88
1961,8,1961.6219,318.06
1961,9,1961.7068,317.90
1961,10,1961.7890,318.32
1961,11,1961.8740,317.99
1961,12,1961.9562,317.79
1962,1,1962.0411,317.91
1962,2,1962.1260,317.92
1962,3,1962.2027,318.39
1962,4,1962.2877,318.24
1962,5,1962.3699,318.18
1962,6,1962.4548,318.47
1962,7,1962.5370,318.92
1962,8,1962.6219,318.68
1962,9,1962.7068,319.17
1962,10,1962.7890,318.45
1962,11,1962.8740,318.58
1962,12,1962.9562,318.47
1963,1,1963.0411,318.70
1963,2,1963.1260,318.44
1963,3,1963.2027,318.57
1963,4,1963.2877,319.05
1963,5,1963.3699,319.40
1963,6,1963.4548,319.32
1963,7,1963.5370,319.05
1963,8,1963.6219,319.05
1963,9,1963.7068,319.14
1963,10,1963.7890,319.02
1963,11,1963.8740,318.97
1963,12,1963.9562,319.13
1964,1,1964.0410,319.54
1964,2,1964.1257,319.37
1964,3,1964.2049,319.41
1964,4,1964.2896,319.45
1964,5,1964.3716,319.40
1964,6,1964.4563,319.75
1964,7,1964.5383,319.77
1964,8,1964.6230,320.00
1964,9,1964.7077,319.66
1964,10,1964.7896,319.91
1964,11,1964.8743,319.58
1964,12,1964.9563,319.49
1965,1,1965.0411,319.40
1965,2,1965.1260,319.81
1965,3,1965.2027,319.59
1965,4,1965.2877,319.78
1965,5,1965.3699,319.30
1965,6,1965.4548,319.70
1965,7,1965.5370,320.51
1965,8,1965.6219,320.15
1965,9,1965.7068,320.77
1965,10,1965.7890,320.36
1965,11,1965.8740,320.78
1965,12,1965.9562,320.20
1966,1,1966.0411,320.59
1966,2,1966.1260,320.96
1966,3,1966.2027,321.08
1966,4,1966.2877,321.34
1966,5,1966.3699,321.20
1966,6,1966.4548,321.57
1966,7,1966.5370,321.68
1966,8,1966.6219,321.65
1966,9,1966.7068,321.60
1966,10,1966.7890,321.17
1966,11,1966.8740,321.70
1966,12,1966.9562,321.81
1967,1,1967.0411,322.29
1967,2,1967.1260,321.86
1967,3,1967.2027,321.73
1967,4,1967.2877,322.04
1967,5,1967.3699,322.12
1967,6,1967.4548,321.91
1967,7,1967.5370,321.84
1967,8,1967.6219,322.21
1967,9,1967.7068,322.23
1967,10,1967.7890,322.47
1967,11,1967.8740,322.65
1967,12,1967.9562,322.75
1968,1,1968.0410,322.54
1968,2,1968.1257,322.51
1968,3,1968.2049,322.55
1968,4,1968.2896,322.62
1968,5,1968.3716,322.68
1968,6,1968.4563,323.19
1968,7,1968.5383,323.46
1968,8,1968.6230,323.43
1968,9,1968.7077,323.32
1968,10,1968.7896,323.33
1968,11,1968.8743,323.25
1968,12,1968.9563,323.69
1969,1,1969.0411,323.97
1969,2,1969.1260,323.77
1969,3,1969.2027,324.31
1969,4,1969.2877,324.27
1969,5,1969.3699,324.48
1969,6,1969.4548,324.51
1969,7,1969.5370,325.17
1969,8,1969.6219,324.97
1969,9,1969.7068,325.37
1969,10,1969.7890,324.88
1969,11,1969.8740,324.79
1969,12,1969.9562,324.91
1970,1,1970.0411,325.03
1970,2,1970.1260,325.34
1970,3,1970.2027,325.61
