Year,ENSO
1955.0000,-0.9
1955.0833,3.1
1955.1667,1.1
1955.2500,-0.2
1955.3333,1.7
1955.4167,2.2
1955.5000,2.6
1955.5833,2.4
1955.6667,2.2
1955.7500,2.5
1955.8333,2.0
1955.9167,1.6
1956.0000,2.2
1956.0833,2.7
1956.1667,2.2
1956.2500,1.5
1956.3333,2.3
1956.4167,1.8
1956.5000,1.8
1956.5833,2.0
1956.6667,0.1
1956.7500,2.9
1956.8333,0.2
1956.9167,1.8
1957.0000,1.0
1957.0833,-0.1
1957.1667,0.3
1957.2500,0.4
1957.3333,-1.1
1957.4167,0.3
1957.5000,0.4
1957.5833,-0.8
1957.6667,-1.5
1957.7500,0.1
1957.8333,-1.6
1957.9167,-0.5
1958.0000,-3.1
1958.0833,-0.8
1958.1667,0.4
1958.2500,0.6
1958.3333,-0.8
1958.4167,0.5
1958.5000,0.7
1958.5833,1.5
1958.6667,-0.5
1958.7500,0.1
1958.8333,-0.7
1958.9167,-1.0
1959.0000,-1.5
1959.0833,-2.3
1959.1667,2.1
1959.2500,0.7
1959.3333,0.8
1959.4167,-0.2
1959.5000,-0.4
1959.5833,-0.2
1959.6667,0.0
1959.7500,0.8
1959.8333,1.5
1959.9167,1.5
1960.0000,0.2
1960.0833,0.2
1960.1667,1.7
1960.2500,1.3
1960.3333,0.9
1960.4167,0.2
1960.5000,0.8
1960.5833,1.3
1960.6667,1.1
1960.7500,0.2
1960.8333,0.9
1960.9167,1.3
1961.0000,-0.4
1961.0833,1.5
1961.1667,-3.0
1961.2500,1.3
1961.3333,0.5
1961.4167,0.2
1961.5000,0.4
1961.5833,0.2
1961.6667,0.1
1961.7500,-0.5
1961.8333,0.9
1961.9167,2.5
1962.0000,3.3
1962.0833,-0.5
1962.1667,0.2
1962.2500,0.3
1962.3333,1.8
1962.4167,1.2
1962.5000,0.1
1962.5833,1.0
1962.6667,0.7
1962.7500,1.6
1962.8333,0.5
1962.9167,0.3
1963.0000,1.7
1963.0833,0.9
1963.1667,1.9
1963.2500,1.3
1963.3333,0.6
1963.4167,-0.8
1963.5000,-0.2
1963.5833,0.0
1963.6667,-1.0
1963.7500,-2.0
1963.8333,-1.4
1963.9167,-2.0
1964.0000,-0.6
1964.0833,0.1
1964.1667,1.9
1964.2500,1.8
1964.3333,0.4
1964.4167,1.2
1964.5000,0.9
1964.5833,2.5
1964.6667,2.1
1964.7500,2.2
1964.8333,0.3
1964.9167,-0.5
1965.0000,-0.7
1965.0833,0.7
1965.1667,1.2
1965.2500,-0.9
1965.3333,0.3
1965.4167,-0.9
1965.5000,-3.0
1965.5833,-1.1
1965.6667,-2.2
1965.7500,-1.5
1965.8333,-2.4
1965.9167,0.3
1966.0000,-2.2
1966.0833,-0.4
1966.1667,-1.5
1966.2500,-0.3
1966.3333,-0.7
1966.4167,0.5
1966.5000,0.1
1966.5833,1.1
1966.6667,-0.4
1966.7500,-0.2
1966.8333,0.0
1966.9167,-0.6
1967.0000,2.8
1967.0833,2.8
1967.1667,2.0
1967.2500,-0.1
1967.3333,0.0
1967.4167,1.1
1967.5000,0.3
1967.5833,1.2
1967.6667,0.8
1967.7500,0.1
1967.8333,-0.7
1967.9167,-0.9
1968.0000,0.9
1968.0833,2.1
1968.1667,0.2
1968.2500,0.0
1968.3333,2.1
1968.4167,1.8
1968.5000,1.1
1968.5833,0.4
1968.6667,-0.4
1968.7500,-0.1
1968.8333,-0.6
1968.9167,0.3
1969.0000,-2.4
1969.0833,-0.9
