Date,Temp
1880.0000,-0.18
1880.0833,-0.24
1880.1667,-0.09
1880.2500,-0.16
1880.3333,-0.10
1880.4167,-0.21
1880.5000,-0.18
1880.5833,-0.10
1880.6667,-0.15
1880.7500,-0.23
1880.8333,-0.22
1880.9167,-0.17
1881.0000,-0.19
1881.0833,-0.14
1881.1667,0.03
1881.2500,0.05
1881.3333,0.06
1881.4167,-0.18
1881.5000,0.00
1881.5833,-0.04
1881.6667,-0.15
1881.7500,-0.22
1881.8333,-0.18
1881.9167,-0.07
1882.0000,0.16
1882.0833,0.14
1882.1667,0.04
1882.2500,-0.17
1882.3333,-0.15
1882.4167,-0.23
1882.5000,-0.16
1882.5833,-0.07
1882.6667,-0.14
1882.7500,-0.24
1882.8333,-0.17
1882.9167,-0.36
1883.0000,-0.29
1883.0833,-0.37
1883.1667,-0.12
1883.2500,-0.18
1883.3333,-0.17
1883.4167,-0.08
1883.5000,-0.06
1883.5833,-0.14
1883.6667,-0.21
1883.7500,-0.11
1883.8333,-0.23
1883.9167,-0.11
1884.0000,-0.13
1884.0833,-0.08
1884.1667,-0.36
1884.2500,-0.40
1884.3333,-0.34
1884.4167,-0.36
1884.5000,-0.30
1884.5833,-0.27
1884.6667,-0.27
1884.7500,-0.25
1884.8333,-0.33
1884.9167,-0.31
1885.0000,-0.58
1885.0833,-0.34
1885.1667,-0.27
1885.2500,-0.42
1885.3333,-0.45
1885.4167,-0.43
1885.5000,-0.34
1885.5833,-0.31
1885.6667,-0.29
1885.7500,-0.24
1885.8333,-0.24
1885.9167,-0.11
1886.0000,-0.44
1886.0833,-0.51
1886.1667,-0.43
1886.2500,-0.28
1886.3333,-0.24
1886.4167,-0.34
1886.5000,-0.18
1886.5833,-0.31
1886.6667,-0.24
1886.7500,-0.28
1886.8333,-0.27
1886.9167,-0.26
1887.0000,-0.72
1887.0833,-0.57
1887.1667,-0.36
1887.2500,-0.35
1887.3333,-0.31
1887.4167,-0.25
1887.5000,-0.26
1887.5833,-0.36
1887.6667,-0.26
1887.7500,-0.36
1887.8333,-0.26
1887.9167,-0.33
1888.0000,-0.34
1888.0833,-0.36
1888.1667,-0.42
1888.2500,-0.20
1888.3333,-0.22
1888.4167,-0.17
1888.5000,-0.10
1888.5833,-0.16
1888.6667,-0.12
1888.7500,0.01
1888.8333,0.02
1888.9167,-0.04
1889.0000,-0.09
1889.0833,0.16
1889.1667,0.06
1889.2500,0.09
1889.3333,-0.01
1889.4167,-0.10
1889.5000,-0.08
1889.5833,-0.21
1889.6667,-0.24
1889.7500,-0.25
1889.8333,-0.34
1889.9167,-0.29
1890.0000,-0.42
1890.0833,-0.45
1890.1667,-0.40
1890.2500,-0.30
1890.3333,-0.40
1890.4167,-0.25
1890.5000,-0.28
1890.5833,-0.39
1890.6667,-0.37
1890.7500,-0.25
1890.8333,-0.43
1890.9167,-0.32
1891.0000,-0.34
1891.0833,-0.47
1891.1667,-0.18
1891.2500,-0.27
1891.3333,-0.17
1891.4167,-0.21
1891.5000,-0.17
1891.5833,-0.17
1891.6667,-0.16
1891.7500,-0.22
1891.8333,-0.31
1891.9167,-0.05
1892.0000,-0.29
1892.0833,-0.12
1892.1667,-0.40
1892.2500,-0.34
1892.3333,-0.24
1892.4167,-0.22
1892.5000,-0.31
1892.5833,-0.27
1892.6667,-0.17
1892.7500,-0.14
1892.8333,-0.42
1892.9167,-0.38
1893.0000,-0.80
1893.0833,-0.56
1893.1667,-0.22
1893.2500,-0.27
1893.3333,-0.33
1893.4167,-0.25
1893.5000,-0.14
1893.5833,-0.25
1893.6667,-0.23
1893.7500,-0.19
1893.8333,-0.19
1893.9167,-0.34
1894.0000,-0.53
1894.0833,-0.31
1894.1667,-0.23
1894.2500,-0.45
1894.3333,-0.32
1894.4167,-0.41
1894.5000,-0.25
1894.5833,-0.26
1894.6667,-0.29
1894.7500,-0.24
1894.8333,-0.27
1894.9167,-0.22
1895.0000,-0.42
1895.0833,-0.43
1895.1667,-0.34
1895.2500,-0.22
1895.3333,-0.28
1895.4167,-0.22
1895.5000,-0.18
1895.5833,-0.18
1895.6667,-0.12
1895.7500,-0.10
1895.8333,-0.16
1895.9167,-0.13
1896.0000,-0.22
1896.0833,-0.12
1896.1667,-0.26
1896.2500,-0.30
1896.3333,-0.15
1896.4167,-0.11
1896.5000,-0.02
1896.5833,-0.05
1896.6667,-0.07
1896.7500,0.07
1896.8333,-0.04
1896.9167,-0.04
1897.0000,-0.15
1897.0833,-0.17
1897.1667,-0.14
1897.2500,-0.01
1897.3333,-0.01
1897.4167,-0.11
1897.5000,-0.02
1897.5833,-0.09
1897.6667,-0.08
1897.7500,-0.13
1897.8333,-0.18
1897.9167,-0.20
1898.0000,-0.02
1898.0833,-0.30
1898.1667,-0.52
1898.2500,-0.31
1898.3333,-0.30
1898.4167,-0.19
1898.5000,-0.22
1898.5833,-0.27
1898.6667,-0.21
1898.7500,-0.34
1898.8333,-0.38
1898.9167,-0.23
1899.0000,-0.16
1899.0833,-0.38
1899.1667,-0.36
1899.2500,-0.20
1899.3333,-0.23
1899.4167,-0.31
1899.5000,-0.16
1899.5833,-0.08
1899.6667,-0.05
1899.7500,-0.04
1899.8333,0.13
1899.9167,-0.26
1900.0000,-0.35
1900.0833,-0.05
1900.1667,0.01
1900.2500,-0.08
1900.3333,-0.08
1900.4167,-0.09
1900.5000,-0.12
1900.5833,-0.08
1900.6667,-0.05
1900.7500,0.10
1900.8333,-0.06
1900.9167,-0.06
1901.0000,-0.21
1901.0833,-0.11
1901.1667,0.06
1901.2500,-0.03
1901.3333,-0.15
1901.4167,-0.11
1901.5000,-0.14
1901.5833,-0.20
1901.6667,-0.22
1901.7500,-0.29
1901.8333,-0.16
1901.9167,-0.27
1902.0000,-0.16
1902.0833,-0.09
1902.1667,-0.27
1902.2500,-0.27
1902.3333,-0.32
1902.4167,-0.31
1902.5000,-0.27
1902.5833,-0.30
1902.6667,-0.29
1902.7500,-0.30
1902.8333,-0.36
1902.9167,-0.41
1903.0000,-0.23
1903.0833,-0.05
1903.1667,-0.23
1903.2500,-0.41
1903.3333,-0.39
1903.4167,-0.42
1903.5000,-0.34
1903.5833,-0.45
1903.6667,-0.49
1903.7500,-0.46
1903.8333,-0.41
1903.9167,-0.50
1904.0000,-0.62
1904.0833,-0.58
1904.1667,-0.50
1904.2500,-0.51
1904.3333,-0.52
1904.4167,-0.48
1904.5000,-0.51
1904.5833,-0.49
1904.6667,-0.56
1904.7500,-0.39
1904.8333,-0.17
1904.9167,-0.33
1905.0000,-0.35
1905.0833,-0.59
1905.1667,-0.21
1905.2500,-0.33
1905.3333,-0.29
1905.4167,-0.28
1905.5000,-0.26
1905.5833,-0.20
1905.6667,-0.19
1905.7500,-0.25
1905.8333,-0.07
1905.9167,-0.13
1906.0000,-0.28
1906.0833,-0.29
1906.1667,-0.18
1906.2500,-0.05
1906.3333,-0.26
1906.4167,-0.19
1906.5000,-0.23
1906.5833,-0.20
1906.6667,-0.28
1906.7500,-0.20
1906.8333,-0.37
1906.9167,-0.15
1907.0000,-0.43
1907.0833,-0.51
1907.1667,-0.27
1907.2500,-0.37
1907.3333,-0.46
1907.4167,-0.42
1907.5000,-0.35
1907.5833,-0.34
1907.6667,-0.34
1907.7500,-0.22
1907.8333,-0.46
1907.9167,-0.47
1908.0000,-0.44
1908.0833,-0.33
1908.1667,-0.55
1908.2500,-0.44
1908.3333,-0.37
1908.4167,-0.38
1908.5000,-0.35
1908.5833,-0.46
1908.6667,-0.36
1908.7500,-0.44
1908.8333,-0.52
1908.9167,-0.49
1909.0000,-0.73
1909.0833,-0.46
1909.1667,-0.54
1909.2500,-0.59
1909.3333,-0.55
1909.4167,-0.52
1909.5000,-0.45
1909.5833,-0.34
1909.6667,-0.39
1909.7500,-0.40
1909.8333,-0.32
1909.9167,-0.56
1910.0000,-0.42
1910.0833,-0.41
1910.1667,-0.50
1910.2500,-0.43
1910.3333,-0.34
1910.4167,-0.38
1910.5000,-0.34
1910.5833,-0.37
1910.6667,-0.39
1910.7500,-0.41
1910.8333,-0.57
1910.9167,-0.67
1911.0000,-0.62
1911.0833,-0.57
1911.1667,-0.60
1911.2500,-0.53
1911.3333,-0.51
1911.4167,-0.50
1911.5000,-0.42
1911.5833,-0.44
1911.6667,-0.41
1911.7500,-0.26
1911.8333,-0.21
1911.9167,-0.21
1912.0000,-0.25
1912.0833,-0.14
1912.1667,-0.38
1912.2500,-0.17
1912.3333,-0.21
1912.4167,-0.24
1912.5000,-0.43
1912.5833,-0.54
1912.6667,-0.58
1912.7500,-0.57
1912.8333,-0.39
1912.9167,-0.43
1913.0000,-0.40
1913.0833,-0.45
1913.1667,-0.42
1913.2500,-0.39
1913.3333,-0.44
1913.4167,-0.45
1913.5000,-0.36
1913.5833,-0.33
1913.6667,-0.35
1913.7500,-0.32
1913.8333,-0.19
1913.9167,-0.02
1914.0000,0.05
1914.0833,-0.10
1914.1667,-0.24
1914.2500,-0.30
1914.3333,-0.21
1914.4167,-0.25
1914.5000,-0.23
1914.5833,-0.16
1914.6667,-0.17
1914.7500,-0.03
1914.8333,-0.15
1914.9167,-0.04
1915.0000,-0.20
1915.0833,-0.04
1915.1667,-0.10
1915.2500,0.07
1915.3333,-0.06
1915.4167,-0.22
1915.5000,-0.12
1915.5833,-0.22
1915.6667,-0.21
1915.7500,-0.24
1915.8333,-0.13
1915.9167,-0.21
1916.0000,-0.12
1916.0833,-0.14
1916.1667,-0.28
1916.2500,-0.30
1916.3333,-0.35
1916.4167,-0.49
1916.5000,-0.37
1916.5833,-0.28
1916.6667,-0.36
1916.7500,-0.33
1916.8333,-0.46
1916.9167,-0.81
1917.0000,-0.57
1917.0833,-0.63
1917.1667,-0.63
1917.2500,-0.55
1917.3333,-0.55
1917.4167,-0.43
1917.5000,-0.25
1917.5833,-0.22
1917.6667,-0.23
1917.7500,-0.44
1917.8333,-0.34
1917.9167,-0.68
1918.0000,-0.48
1918.0833,-0.34
1918.1667,-0.24
1918.2500,-0.44
1918.3333,-0.43
1918.4167,-0.36
1918.5000,-0.32
1918.5833,-0.31
1918.6667,-0.17
1918.7500,-0.06
1918.8333,-0.12
1918.9167,-0.30
1919.0000,-0.20
1919.0833,-0.23
1919.1667,-0.21
1919.2500,-0.12
1919.3333,-0.28
1919.4167,-0.36
1919.5000,-0.29
1919.5833,-0.33
1919.6667,-0.25
1919.7500,-0.20
1919.8333,-0.41
1919.9167,-0.42
1920.0000,-0.25
1920.0833,-0.27
1920.1667,-0.12
1920.2500,-0.24
1920.3333,-0.27
1920.4167,-0.36
1920.5000,-0.30
1920.5833,-0.26
1920.6667,-0.22
1920.7500,-0.26
1920.8333,-0.27
1920.9167,-0.47
1921.0000,-0.04
1921.0833,-0.18
1921.1667,-0.23
1921.2500,-0.29
1921.3333,-0.30
1921.4167,-0.27
1921.5000,-0.14
1921.5833,-0.26
1921.6667,-0.19
1921.7500,-0.03
1921.8333,-0.14
1921.9167,-0.18
1922.0000,-0.34
