Time,Year,Month,Temp
1948,1948,1,-0.018
1948.0833,1948,2,-0.03
1948.1667,1948,3,0.025
1948.25,1948,4,-0.073
1948.3333,1948,5,-0.007
1948.4167,1948,6,0.052
1948.5,1948,7,-0.042
1948.5833,1948,8,-0.025
1948.6667,1948,9,-0.056
1948.75,1948,10,0.005
1948.8333,1948,11,0.131
1948.9167,1948,12,0.059
1949,1949,1,0.15
1949.0833,1949,2,0.157
1949.1667,1949,3,0.036
1949.25,1949,4,0.096
1949.3333,1949,5,-0.027
1949.4167,1949,6,-0.002
1949.5,1949,7,0.069
1949.5833,1949,8,0.099
1949.6667,1949,9,0.067
1949.75,1949,10,0.101
1949.8333,1949,11,0.105
1949.9167,1949,12,0.115
1950,1950,1,0.108
1950.0833,1950,2,-0.036
1950.1667,1950,3,-0.109
1950.25,1950,4,-0.133
1950.3333,1950,5,-0.061
1950.4167,1950,6,-0.045
1950.5,1950,7,-0.058
1950.5833,1950,8,0.017
1950.6667,1950,9,0.007
1950.75,1950,10,-0.093
1950.8333,1950,11,0.077
1950.9167,1950,12,0.085
1951,1951,1,0.1
1951.0833,1951,2,-0.005
1951.1667,1951,3,0.009
1951.25,1951,4,0.166
1951.3333,1951,5,0.17
1951.4167,1951,6,0.286
1951.5,1951,7,0.419
1951.5833,1951,8,0.3
1951.6667,1951,9,0.246
1951.75,1951,10,0.256
1951.8333,1951,11,0.172
1951.9167,1951,12,0.172
1952,1952,1,0.169
1952.0833,1952,2,0.179
1952.1667,1952,3,0.227
1952.25,1952,4,0.188
1952.3333,1952,5,0.177
1952.4167,1952,6,0.38
1952.5,1952,7,0.369
1952.5833,1952,8,0.4
1952.6667,1952,9,0.358
1952.75,1952,10,0.351
1952.8333,1952,11,0.247
1952.9167,1952,12,0.337
1953,1953,1,0.262
1953.0833,1953,2,0.182
1953.1667,1953,3,0.138
1953.25,1953,4,0.31
1953.3333,1953,5,0.339
1953.4167,1953,6,0.272
1953.5,1953,7,0.34
1953.5833,1953,8,0.255
1953.6667,1953,9,0.276
1953.75,1953,10,0.145
1953.8333,1953,11,0.241
1953.9167,1953,12,0.254
1954,1954,1,0.224
1954.0833,1954,2,0.092
1954.1667,1954,3,0.097
1954.25,1954,4,-0.017
1954.3333,1954,5,0.066
1954.4167,1954,6,0.096
1954.5,1954,7,-0.048
1954.5833,1954,8,-0.018
1954.6667,1954,9,-0.014
1954.75,1954,10,-0.036
1954.8333,1954,11,-0.03
1954.9167,1954,12,-0.055
1955,1955,1,0.072
1955.0833,1955,2,0.037
1955.1667,1955,3,0.038
1955.25,1955,4,0.092
1955.3333,1955,5,0.173
1955.4167,1955,6,0.19
1955.5,1955,7,0.265
1955.5833,1955,8,0.171
1955.6667,1955,9,0.199
1955.75,1955,10,0.275
1955.8333,1955,11,0.382
1955.9167,1955,12,0.253
1956,1956,1,0.182
1956.0833,1956,2,0.091
1956.1667,1956,3,0.01
1956.25,1956,4,0.06
1956.3333,1956,5,-0.062
1956.4167,1956,6,-0.268
1956.5,1956,7,-0.094
1956.5833,1956,8,-0.102
1956.6667,1956,9,-0.093
1956.75,1956,10,-0.047
1956.8333,1956,11,-0.091
1956.9167,1956,12,0.015
1957,1957,1,-0.085
1957.0833,1957,2,-0.11
1957.1667,1957,3,-0.023
1957.25,1957,4,-0.078
1957.3333,1957,5,-0.125
1957.4167,1957,6,-0.016
1957.5,1957,7,0.036
1957.5833,1957,8,0.198
1957.6667,1957,9,0.217
1957.75,1957,10,0.145
1957.8333,1957,11,0.08
1957.9167,1957,12,0.075
1958,1958,1,0.044
1958.0833,1958,2,0.184
1958.1667,1958,3,0.34
1958.25,1958,4,0.342
1958.3333,1958,5,0.197
1958.4167,1958,6,0.217
1958.5,1958,7,0.16
1958.5833,1958,8,0.156
1958.6667,1958,9,0.208
1958.75,1958,10,0.147
1958.8333,1958,11,0.181
1958.9167,1958,12,0.215
1959,1959,1,0.095
1959.0833,1959,2,0.11
1959.1667,1959,3,-0.032
1959.25,1959,4,-0.009
1959.3333,1959,5,0.002
1959.4167,1959,6,-0.064
1959.5,1959,7,-0.037
1959.5833,1959,8,0.007
1959.6667,1959,9,0.12
1959.75,1959,10,0.107
1959.8333,1959,11,0.046
1959.9167,1959,12,0.105
1960,1960,1,0.171
1960.0833,1960,2,0.211
1960.1667,1960,3,0.083
1960.25,1960,4,0.092
1960.3333,1960,5,0.297
1960.4167,1960,6,0.314
1960.5,1960,7,0.265
1960.5833,1960,8,0.33
1960.6667,1960,9,0.206
1960.75,1960,10,0.291
1960.8333,1960,11,0.245
1960.9167,1960,12,0.133
1961,1961,1,0.055
1961.0833,1961,2,0.076
1961.1667,1961,3,0.143
1961.25,1961,4,0.221
1961.3333,1961,5,0.188
1961.4167,1961,6,0.027
1961.5,1961,7,-0.024
1961.5833,1961,8,0.03
1961.6667,1961,9,-0.003
1961.75,1961,10,0.024
1961.8333,1961,11,0.062
1961.9167,1961,12,0.208
1962,1962,1,0.143
1962.0833,1962,2,0.146
1962.1667,1962,3,0.16
1962.25,1962,4,0.082
1962.3333,1962,5,0.017
1962.4167,1962,6,-0.077
1962.5,1962,7,-0.014
1962.5833,1962,8,-0.069
1962.6667,1962,9,-0.002
1962.75,1962,10,0.06
1962.8333,1962,11,0.04
1962.9167,1962,12,0.184
1963,1963,1,0.151
1963.0833,1963,2,0.16
1963.1667,1963,3,0.128
1963.25,1963,4,0.098
1963.3333,1963,5,-0.091
1963.4167,1963,6,-0.053
1963.5,1963,7,-0.042
1963.5833,1963,8,-0.08
1963.6667,1963,9,-0.208
1963.75,1963,10,-0.078
1963.8333,1963,11,-0.063
1963.9167,1963,12,-0.066
1964,1964,1,-0.081
1964.0833,1964,2,0.015
1964.1667,1964,3,0.033
1964.25,1964,4,-0.152
1964.3333,1964,5,0.034
1964.4167,1964,6,-0.002
1964.5,1964,7,-0.15
1964.5833,1964,8,-0.24
1964.6667,1964,9,-0.226
1964.75,1964,10,-0.278
