Time,Year,Month,Temp
1950,1950,1,-1.5
1950.0833,1950,2,-1.3
1950.1667,1950,3,-1.2
1950.25,1950,4,-1.2
1950.3333,1950,5,-1.1
1950.4167,1950,6,-0.9
1950.5,1950,7,-0.5
1950.5833,1950,8,-0.4
1950.6667,1950,9,-0.4
1950.75,1950,10,-0.4
1950.8333,1950,11,-0.6
1950.9167,1950,12,-0.8
1951,1951,1,-0.8
1951.0833,1951,2,-0.5
1951.1667,1951,3,-0.2
1951.25,1951,4,0.2
1951.3333,1951,5,0.4
1951.4167,1951,6,0.6
1951.5,1951,7,0.7
1951.5833,1951,8,0.9
1951.6667,1951,9,1
1951.75,1951,10,1.2
1951.8333,1951,11,1
1951.9167,1951,12,0.8
1952,1952,1,0.5
1952.0833,1952,2,0.4
1952.1667,1952,3,0.3
1952.25,1952,4,0.3
1952.3333,1952,5,0.2
1952.4167,1952,6,0
1952.5,1952,7,-0.1
1952.5833,1952,8,0
1952.6667,1952,9,0.2
1952.75,1952,10,0.1
1952.8333,1952,11,0
1952.9167,1952,12,0.1
1953,1953,1,0.4
1953.0833,1953,2,0.6
1953.1667,1953,3,0.6
1953.25,1953,4,0.7
1953.3333,1953,5,0.8
1953.4167,1953,6,0.8
1953.5,1953,7,0.7
1953.5833,1953,8,0.7
1953.6667,1953,9,0.8
1953.75,1953,10,0.8
1953.8333,1953,11,0.8
1953.9167,1953,12,0.8
1954,1954,1,0.8
1954.0833,1954,2,0.5
1954.1667,1954,3,0
1954.25,1954,4,-0.4
1954.3333,1954,5,-0.5
1954.4167,1954,6,-0.5
1954.5,1954,7,-0.6
1954.5833,1954,8,-0.8
1954.6667,1954,9,-0.9
1954.75,1954,10,-0.8
1954.8333,1954,11,-0.7
1954.9167,1954,12,-0.7
1955,1955,1,-0.7
1955.0833,1955,2,-0.6
1955.1667,1955,3,-0.7
1955.25,1955,4,-0.8
1955.3333,1955,5,-0.8
1955.4167,1955,6,-0.7
1955.5,1955,7,-0.7
1955.5833,1955,8,-0.7
1955.6667,1955,9,-1.1
1955.75,1955,10,-1.4
1955.8333,1955,11,-1.7
1955.9167,1955,12,-1.5
1956,1956,1,-1.1
1956.0833,1956,2,-0.8
1956.1667,1956,3,-0.6
1956.25,1956,4,-0.5
1956.3333,1956,5,-0.5
1956.4167,1956,6,-0.5
1956.5,1956,7,-0.6
1956.5833,1956,8,-0.6
1956.6667,1956,9,-0.5
1956.75,1956,10,-0.4
1956.8333,1956,11,-0.4
1956.9167,1956,12,-0.4
1957,1957,1,-0.2
1957.0833,1957,2,0.1
1957.1667,1957,3,0.4
1957.25,1957,4,0.7
1957.3333,1957,5,0.9
1957.4167,1957,6,1.1
1957.5,1957,7,1.3
1957.5833,1957,8,1.3
1957.6667,1957,9,1.3
1957.75,1957,10,1.4
1957.8333,1957,11,1.5
1957.9167,1957,12,1.7
1958,1958,1,1.8
1958.0833,1958,2,1.7
1958.1667,1958,3,1.3
1958.25,1958,4,0.9
1958.3333,1958,5,0.7
1958.4167,1958,6,0.6
1958.5,1958,7,0.6
1958.5833,1958,8,0.4
1958.6667,1958,9,0.4
1958.75,1958,10,0.4
1958.8333,1958,11,0.5
1958.9167,1958,12,0.6
1959,1959,1,0.6
1959.0833,1959,2,0.6
1959.1667,1959,3,0.5
1959.25,1959,4,0.3
1959.3333,1959,5,0.2
1959.4167,1959,6,-0.1
1959.5,1959,7,-0.2
1959.5833,1959,8,-0.3
1959.6667,1959,9,-0.1
1959.75,1959,10,0
1959.8333,1959,11,0
1959.9167,1959,12,0
1960,1960,1,-0.1
1960.0833,1960,2,-0.1
1960.1667,1960,3,-0.1
1960.25,1960,4,0
1960.3333,1960,5,0
1960.4167,1960,6,0
1960.5,1960,7,0.1
1960.5833,1960,8,0.2
1960.6667,1960,9,0.3
1960.75,1960,10,0.2
1960.8333,1960,11,0.1
1960.9167,1960,12,0.1
1961,1961,1,0
1961.0833,1961,2,0
1961.1667,1961,3,0
1961.25,1961,4,0.1
1961.3333,1961,5,0.2
1961.4167,1961,6,0.3
1961.5,1961,7,0.1
1961.5833,1961,8,-0.1
1961.6667,1961,9,-0.3
1961.75,1961,10,-0.3
1961.8333,1961,11,-0.2
1961.9167,1961,12,-0.2
1962,1962,1,-0.2
1962.0833,1962,2,-0.2
1962.1667,1962,3,-0.2
1962.25,1962,4,-0.3
1962.3333,1962,5,-0.3
1962.4167,1962,6,-0.2
1962.5,1962,7,0
1962.5833,1962,8,-0.1
1962.6667,1962,9,-0.1
1962.75,1962,10,-0.2
1962.8333,1962,11,-0.3
1962.9167,1962,12,-0.4
1963,1963,1,-0.4
1963.0833,1963,2,-0.2
1963.1667,1963,3,0.2
1963.25,1963,4,0.3
1963.3333,1963,5,0.3
1963.4167,1963,6,0.5
1963.5,1963,7,0.9
1963.5833,1963,8,1.1
1963.6667,1963,9,1.2
1963.75,1963,10,1.3
1963.8333,1963,11,1.4
1963.9167,1963,12,1.3
1964,1964,1,1.1
1964.0833,1964,2,0.6
1964.1667,1964,3,0.1
1964.25,1964,4,-0.3
1964.3333,1964,5,-0.6
1964.4167,1964,6,-0.6
1964.5,1964,7,-0.6
1964.5833,1964,8,-0.7
1964.6667,1964,9,-0.8
1964.75,1964,10,-0.8
1964.8333,1964,11,-0.8
1964.9167,1964,12,-0.8
1965,1965,1,-0.6
1965.0833,1965,2,-0.3
1965.1667,1965,3,-0.1
1965.25,1965,4,0.2
1965.3333,1965,5,0.5
1965.4167,1965,6,0.8
1965.5,1965,7,1.2
1965.5833,1965,8,1.5
1965.6667,1965,9,1.9
1965.75,1965,10,2
1965.8333,1965,11,2
1965.9167,1965,12,1.7
1966,1966,1,1.4
1966.0833,1966,2,1.2
1966.1667,1966,3,1
1966.25,1966,4,0.7
1966.3333,1966,5,0.4
1966.4167,1966,6,0.2
1966.5,1966,7,0.2
1966.5833,1966,8,0.1
1966.6667,1966,9,-0.1
1966.75,1966,10,-0.1
1966.8333,1966,11,-0.2
1966.9167,1966,12,-0.3
1967,1967,1,-0.4
1967.0833,1967,2,-0.5
1967.1667,1967,3,-0.5
1967.25,1967,4,-0.4
1967.3333,1967,5,-0.2
1967.4167,1967,6,0
1967.5,1967,7,0
1967.5833,1967,8,-0.2
1967.6667,1967,9,-0.3
1967.75,1967,10,-0.4
1967.8333,1967,11,-0.3
1967.9167,1967,12,-0.4
1968,1968,1,-0.6
1968.0833,1968,2,-0.7
1968.1667,1968,3,-0.6
1968.25,1968,4,-0.4
1968.3333,1968,5,0
1968.4167,1968,6,0.3
1968.5,1968,7,0.6
1968.5833,1968,8,0.5
1968.6667,1968,9,0.4
1968.75,1968,10,0.5
1968.8333,1968,11,0.7
1968.9167,1968,12,1
1969,1969,1,1.1
1969.0833,1969,2,1.1
1969.1667,1969,3,0.9
1969.25,1969,4,0.8
1969.3333,1969,5,0.6
1969.4167,1969,6,0.4
1969.5,1969,7,0.4
1969.5833,1969,8,0.5
1969.6667,1969,9,0.8
1969.75,1969,10,0.9
1969.8333,1969,11,0.8
1969.9167,1969,12,0.6
1970,1970,1,0.5
1970.0833,1970,2,0.3
1970.1667,1970,3,0.3
1970.25,1970,4,0.2
1970.3333,1970,5,0
1970.4167,1970,6,-0.3
1970.5,1970,7,-0.6
1970.5833,1970,8,-0.8
1970.6667,1970,9,-0.8
1970.75,1970,10,-0.7
1970.8333,1970,11,-0.9
1970.9167,1970,12,-1.1
1971,1971,1,-1.4
1971.0833,1971,2,-1.4
1971.1667,1971,3,-1.1
1971.25,1971,4,-0.8
1971.3333,1971,5,-0.7
1971.4167,1971,6,-0.7
1971.5,1971,7,-0.8
1971.5833,1971,8,-0.8
1971.6667,1971,9,-0.8
1971.75,1971,10,-0.9
1971.8333,1971,11,-1
1971.9167,1971,12,-0.9
1972,1972,1,-0.7
1972.0833,1972,2,-0.4
1972.1667,1972,3,0.1
1972.25,1972,4,0.4
1972.3333,1972,5,0.7
1972.4167,1972,6,0.9
1972.5,1972,7,1.1
1972.5833,1972,8,1.4
1972.6667,1972,9,1.6
1972.75,1972,10,1.8
1972.8333,1972,11,2.1
1972.9167,1972,12,2.1
1973,1973,1,1.8
1973.0833,1973,2,1.2
1973.1667,1973,3,0.5
1973.25,1973,4,-0.1
1973.3333,1973,5,-0.5
1973.4167,1973,6,-0.9
1973.5,1973,7,-1.1
1973.5833,1973,8,-1.3
1973.6667,1973,9,-1.5
1973.75,1973,10,-1.7
