Year,Month,SunSpots,PacificDecadalOscillation,GisTempData,ManuaLoaCo2,AtlanticMultidecalOscillation,ElninoSouthernOscillation,Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
1749,1,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,2,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,3,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,4,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,5,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,6,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,7,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,8,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,9,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,10,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,11,158.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,12,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,1,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,2,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,3,89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,4,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,7,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,8,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,9,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,10,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,11,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,12,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,2,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,3,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,4,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,5,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,6,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,7,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,8,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,9,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,10,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,11,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,12,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,3,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,4,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,5,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,6,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,7,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,8,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,9,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,10,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,11,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,12,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,3,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,4,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,6,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,12,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,4,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,5,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,6,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,7,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,8,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,9,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,10,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,11,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,12,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,1,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,3,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,4,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,7,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,9,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,10,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,11,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,1,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
